universe_version,country,language,cluster_id,intent,vendor,query
jp-ja-v1,JP,ja,category-seo-tools,category,,SEO ツール
jp-ja-v1,JP,ja,category-seo-tools,category,,SEOツール
jp-ja-v1,JP,ja,category-seo-tools,category,,SEO 対策 ツール
jp-ja-v1,JP,ja,category-analysis,category,,SEO 分析 ツール
jp-ja-v1,JP,ja,category-rank-tracking,category,,検索順位 チェック ツール
jp-ja-v1,JP,ja,category-rank-tracking,category,,検索順位 ツール
jp-ja-v1,JP,ja,category-keyword-research,category,,キーワード 調査 ツール
jp-ja-v1,JP,ja,category-keyword-research,category,,キーワード 選定 ツール
jp-ja-v1,JP,ja,category-backlink,category,,被リンク チェック ツール
jp-ja-v1,JP,ja,category-competitor,category,,競合 分析 ツール
jp-ja-v1,JP,ja,category-audit,category,,サイト 監査 ツール
jp-ja-v1,JP,ja,category-reporting,category,,SEO レポート ツール
jp-ja-v1,JP,ja,category-seo-tools,category,,SEO ソフト
jp-ja-v1,JP,ja,category-seo-tools,category,,SEO SaaS
jp-ja-v1,JP,ja,category-seo-tools,category,,マーケティング SEO ツール
jp-ja-v1,JP,ja,category-business,category,,法人 SEO ツール
jp-ja-v1,JP,ja,category-business,category,,企業 SEO ツール
jp-ja-v1,JP,ja,category-owned-media,category,,オウンドメディア SEO ツール
jp-ja-v1,JP,ja,category-ecommerce,category,,EC SEO ツール
jp-ja-v1,JP,ja,category-ai,category,,AI SEO ツール
jp-ja-v1,JP,ja,comparison-seo-tools,comparison,,SEO ツール 比較
jp-ja-v1,JP,ja,comparison-seo-tools,comparison,,SEOツール 比較
jp-ja-v1,JP,ja,comparison-seo-tools,comparison,,SEO ツール おすすめ
jp-ja-v1,JP,ja,comparison-seo-tools,comparison,,SEO ツール ランキング
jp-ja-v1,JP,ja,comparison-free-paid,comparison,,SEO ツール 無料 比較
jp-ja-v1,JP,ja,comparison-free-paid,comparison,,SEO ツール 有料 比較
jp-ja-v1,JP,ja,comparison-business,comparison,,法人 SEO ツール 比較
jp-ja-v1,JP,ja,comparison-business,comparison,,中小企業 SEO ツール 比較
jp-ja-v1,JP,ja,comparison-business,comparison,,大企業 SEO ツール 比較
jp-ja-v1,JP,ja,comparison-owned-media,comparison,,オウンドメディア SEO ツール 比較
jp-ja-v1,JP,ja,comparison-ecommerce,comparison,,EC SEO ツール 比較
jp-ja-v1,JP,ja,comparison-agency,comparison,,SEO 代理店 ツール 比較
jp-ja-v1,JP,ja,comparison-rank-tracking,comparison,,検索順位 チェック ツール 比較
jp-ja-v1,JP,ja,comparison-keyword,comparison,,キーワード ツール 比較
jp-ja-v1,JP,ja,comparison-backlink,comparison,,被リンク チェック ツール 比較
jp-ja-v1,JP,ja,comparison-competitor,comparison,,競合 分析 ツール 比較
jp-ja-v1,JP,ja,comparison-audit,comparison,,サイト 監査 ツール 比較
jp-ja-v1,JP,ja,comparison-ai,comparison,,AI SEO ツール 比較
jp-ja-v1,JP,ja,comparison-cloud,comparison,,クラウド SEO ツール 比較
jp-ja-v1,JP,ja,comparison-integrated,comparison,,統合型 SEO ツール 比較
jp-ja-v1,JP,ja,comparison-all-in-one,comparison,,オールインワン SEO ツール 比較
jp-ja-v1,JP,ja,comparison-japanese,comparison,,日本語 SEO ツール 比較
jp-ja-v1,JP,ja,comparison-overseas,comparison,,海外 SEO ツール 比較
jp-ja-v1,JP,ja,comparison-review,comparison,,SEO ツール 口コミ 比較
jp-ja-v1,JP,ja,comparison-review,comparison,,SEO ツール 評判 比較
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール 料金
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール 価格
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール 費用
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール 相場
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール 月額
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール 年額
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール コスト
jp-ja-v1,JP,ja,pricing-seo-tools,pricing,,SEO ツール 安い
